Frames,VDWAALS,EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,-30.11,-3.01,20.88,-3.19,-33.12,17.69,-15.43
SD,2.36,3.86,4.56,0.07,3.85,4.55,3.39
SEM,0.07,0.12,0.14,0.0,0.12,0.14,0.11
