Frames,VDWAALS,EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,-26.89,-13.77,33.05,-3.17,-40.67,29.88,-10.78
SD,3.34,4.34,5.33,0.11,5.09,5.28,4.22
SEM,0.11,0.14,0.17,0.0,0.16,0.17,0.13
