Frames,VDWAALS,EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,-27.78,-8.31,26.56,-3.29,-36.09,23.27,-12.82
SD,2.8,5.06,4.07,0.03,2.28,4.08,2.48
SEM,1.4,2.53,2.04,0.01,1.14,2.04,1.24
