Frames,VDWAALS,EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,-29.77,-18.39,41.69,-3.31,-48.16,38.38,-9.78
SD,1.8,5.86,2.44,0.1,6.43,2.39,5.7
SEM,0.9,2.93,1.22,0.05,3.21,1.2,2.85
