Frames,VDWAALS,EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,-31.2,5.95,16.63,-3.13,-25.25,13.5,-11.75
SD,1.89,3.9,3.88,0.07,3.6,3.87,3.78
SEM,0.06,0.12,0.12,0.0,0.11,0.12,0.12
